Insertion sort no 1, time: 128.6439971923828125[ms], size: 10000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 2, time: 123.1020050048828125[ms], size: 10000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 3, time: 130.0079956054687500[ms], size: 10000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 4, time: 131.8710021972656250[ms], size: 10000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 5, time: 124.2279968261718750[ms], size: 10000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 6, time: 475.4089965820312500[ms], size: 20000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 7, time: 478.0480041503906250[ms], size: 20000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 8, time: 474.5159912109375000[ms], size: 20000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 9, time: 531.6950073242187500[ms], size: 20000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 10, time: 503.4130249023437500[ms], size: 20000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 11, time: 1118.9409179687500000[ms], size: 30000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 12, time: 1091.1550292968750000[ms], size: 30000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 13, time: 1200.3590087890625000[ms], size: 30000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 14, time: 1183.7120361328125000[ms], size: 30000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 15, time: 1171.2460937500000000[ms], size: 30000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 16, time: 2118.2238769531250000[ms], size: 40000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 17, time: 2122.9689941406250000[ms], size: 40000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 18, time: 2092.5268554687500000[ms], size: 40000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 19, time: 2154.7910156250000000[ms], size: 40000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 20, time: 2156.9360351562500000[ms], size: 40000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 21, time: 3296.6279296875000000[ms], size: 50000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 22, time: 3243.7299804687500000[ms], size: 50000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 23, time: 3056.0278320312500000[ms], size: 50000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 24, time: 3190.0720214843750000[ms], size: 50000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 25, time: 3040.4638671875000000[ms], size: 50000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 26, time: 4517.5078125000000000[ms], size: 60000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 27, time: 4461.3837890625000000[ms], size: 60000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 28, time: 4509.8237304687500000[ms], size: 60000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 29, time: 4433.8759765625000000[ms], size: 60000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 30, time: 4740.7158203125000000[ms], size: 60000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 31, time: 6161.5200195312500000[ms], size: 70000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 32, time: 5966.5122070312500000[ms], size: 70000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 33, time: 5951.3276367187500000[ms], size: 70000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 34, time: 6095.2241210937500000[ms], size: 70000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 35, time: 6176.8081054687500000[ms], size: 70000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 36, time: 7990.6318359375000000[ms], size: 80000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 37, time: 7803.5595703125000000[ms], size: 80000, pre-sorting: 0.00, options: type : uint32_t 
