Insertion sort no 1, time: 4.1510000228881836[ms], size: 1000, pre-sorting: 0.00, options: type : uint32_t 
Insertion sort no 2, time: 3.6200001239776611[ms], size: 1000, pre-sorting: 0.50, options: type : uint32_t 
Insertion sort no 3, time: 2.6259999275207520[ms], size: 1000, pre-sorting: 0.33, options: type : uint32_t 
Insertion sort no 4, time: 1.8840000629425049[ms], size: 1000, pre-sorting: 0.00, options: type : float 
Insertion sort no 5, time: 1.6410000324249268[ms], size: 1000, pre-sorting: 0.50, options: type : float 
Insertion sort no 6, time: 1.3439999818801880[ms], size: 1000, pre-sorting: 0.33, options: type : float 
Shell sort no 7, time: 0.1869999915361404[ms], size: 1000, pre-sorting: 0.00, options: gaps: pow2 
Shell sort no 8, time: 0.1749999970197678[ms], size: 1000, pre-sorting: 0.50, options: gaps: pow2 
Shell sort no 9, time: 0.2080000042915344[ms], size: 1000, pre-sorting: 0.33, options: gaps: pow2 
Shell sort no 10, time: 0.2199999988079071[ms], size: 1000, pre-sorting: 0.00, options: gaps: curie 
Shell sort no 11, time: 0.3129999935626984[ms], size: 1000, pre-sorting: 0.50, options: gaps: curie 
Shell sort no 12, time: 0.1930000036954880[ms], size: 1000, pre-sorting: 0.33, options: gaps: curie 
Quick sort no 13, time: 0.1230000033974648[ms], size: 1000, pre-sorting: 0.00, options: pivot : left 
Quick sort no 14, time: 0.1199999973177910[ms], size: 1000, pre-sorting: 0.50, options: pivot : left 
Quick sort no 15, time: 0.1219999939203262[ms], size: 1000, pre-sorting: 0.33, options: pivot : left 
Quick sort no 16, time: 0.1219999939203262[ms], size: 1000, pre-sorting: 0.00, options: pivot : right 
Quick sort no 17, time: 0.1209999993443489[ms], size: 1000, pre-sorting: 0.50, options: pivot : right 
Quick sort no 18, time: 0.1460000127553940[ms], size: 1000, pre-sorting: 0.33, options: pivot : right 
Quick sort no 19, time: 0.1209999993443489[ms], size: 1000, pre-sorting: 0.00, options: pivot : mid 
Quick sort no 20, time: 0.1180000007152557[ms], size: 1000, pre-sorting: 0.50, options: pivot : mid 
